customer_id,as_of_date,region_name,age,age_band,marital_status,customer_tenure_months,multi_policy_flag,num_policies,policy_type,renewal_month,current_premium,premium_last_year,premium_change_pct,num_price_increases_last_3y,coverage_amount,premium_to_coverage_ratio,payment_frequency,autopay_enabled,late_payment_count_12m,missed_payment_flag,payment_method_change_flag,num_claims_12m,num_approved_claims_12m,num_rejected_claims_12m,num_pending_claims_12m,avg_claim_amount,total_claim_amount_12m,total_payout_amount_12m,payout_ratio_12m,avg_settlement_time_days,days_since_last_claim,num_contacts_12m,complaint_flag,complaint_resolution_days,quote_requested_flag,coverage_downgrade_flag,churn_flag,churn_type,churn_probability_true
1,2025-12-31,Manawatu-Whanganui,24,18-24,Married,128,1,4,Auto,8,1013.47,1060.04,-0.0365,1,8924.09,0.11356532,Monthly,1,0,0,0,0,0,0,0,5250.19,0.0,0.0,0.75,7,1616,0,0,0,0,0,0,No churn,0.048626
2,2025-12-31,Auckland,70,65-74,Married,76,1,3,Auto,3,1126.9,1052.27,0.0479,2,43734.45,0.02576681,Monthly,1,0,0,0,0,0,0,0,4141.41,0.0,0.0,0.75,15,1760,1,0,0,0,0,0,No churn,0.067888
3,2025-12-31,Bay of Plenty,62,55-64,Married,129,0,1,Auto,5,984.7,874.29,0.1184,1,23152.37,0.04253136,Annual,0,0,0,0,0,0,0,0,1956.42,0.0,0.0,0.75,24,1581,1,0,0,0,0,0,No churn,0.223765
4,2025-12-31,Bay of Plenty,47,45-54,Single,104,0,1,Auto,2,373.61,331.99,0.1502,2,31806.95,0.01174612,Monthly,1,2,0,0,0,0,0,0,3204.54,0.0,0.0,0.75,17,1688,1,0,0,0,0,0,No churn,0.602455
5,2025-12-31,Bay of Plenty,47,45-54,Married,22,1,3,Life,11,974.18,991.82,0.0161,1,302831.02,0.0032169,Monthly,1,0,0,0,0,0,0,0,52392.59,0.0,0.0,0.85,24,1592,1,0,0,0,0,0,No churn,0.050723
6,2025-12-31,Auckland,76,75+,Married,88,0,1,Home,7,832.83,815.33,0.0309,2,443383.01,0.00187835,Annual,0,0,0,0,0,0,0,0,16476.9,0.0,0.0,0.75,21,1691,0,0,0,0,0,0,No churn,0.16832
7,2025-12-31,Waikato,23,18-24,Single,41,0,1,Auto,7,1391.68,1328.72,0.0342,3,38737.36,0.03592604,Monthly,0,0,0,0,0,0,0,0,889.11,0.0,0.0,0.75,12,682,1,0,0,1,0,1,Other,0.334373
8,2025-12-31,Wellington,65,65-74,Married,105,0,1,Home,11,562.53,549.83,-0.0057,1,367533.31,0.00153055,Monthly,0,1,0,0,0,0,0,0,19391.57,0.0,0.0,0.75,32,1616,2,0,0,0,0,0,No churn,0.245879
9,2025-12-31,Canterbury,31,25-34,Married,162,0,1,Health,3,1685.01,1487.13,0.1516,2,139393.87,0.01208809,Monthly,0,1,0,1,0,0,0,0,2659.93,0.0,0.0,0.8,23,1767,1,0,0,1,1,1,Price,0.710503
10,2025-12-31,Auckland,24,18-24,Married,154,0,1,Auto,3,809.29,773.16,0.0419,3,15302.27,0.05288724,Annual,1,0,0,0,0,0,0,0,4011.91,0.0,0.0,0.75,13,616,0,0,0,0,0,0,No churn,0.164344
11,2025-12-31,Manawatu-Whanganui,53,45-54,Single,85,1,2,Auto,4,365.47,322.84,0.1445,2,13465.51,0.02714119,Monthly,0,1,0,0,0,0,0,0,7997.46,0.0,0.0,0.75,37,904,0,1,10,0,0,1,Price,0.951677
12,2025-12-31,Auckland,84,75+,Single,116,0,1,Health,10,1965.71,1768.98,0.1061,2,234491.59,0.00838286,Monthly,1,0,0,0,1,1,0,0,5775.54,5775.54,4620.43,0.8,21,185,2,0,0,0,0,1,Other,0.476723
13,2025-12-31,Bay of Plenty,68,65-74,Married,100,0,1,Auto,1,815.1,904.2,-0.1226,2,35041.45,0.02326114,Annual,1,0,0,0,0,0,0,0,3097.5,0.0,0.0,0.75,13,922,1,0,0,0,0,0,No churn,0.107891
14,2025-12-31,Auckland,69,65-74,Single,36,0,1,Auto,7,1004.1,1114.53,-0.106,2,26742.62,0.03754682,Annual,1,0,0,0,0,0,0,0,10653.71,0.0,0.0,0.75,21,923,2,0,0,0,0,0,No churn,0.11045
15,2025-12-31,Otago,66,65-74,Single,133,0,1,Home,1,1016.26,998.73,0.0522,2,422660.33,0.00240445,Annual,0,0,0,0,0,0,0,0,2209.02,0.0,0.0,0.75,22,450,2,0,0,0,0,0,No churn,0.153728
16,2025-12-31,Otago,71,65-74,Married,61,0,1,Auto,3,927.36,745.31,0.2156,2,32867.62,0.02821486,Monthly,1,0,0,0,0,0,0,0,5623.75,0.0,0.0,0.75,10,722,3,0,0,0,0,0,No churn,0.569276
17,2025-12-31,Auckland,52,45-54,Married,165,0,1,Travel,3,367.67,307.18,0.1899,1,15787.5,0.02328879,Monthly,1,0,0,0,0,0,0,0,2971.05,0.0,0.0,0.75,25,959,0,0,0,1,0,0,No churn,0.539117
